Command	Type
hyperellratpoints	entity.name.function	hyperellratpoints(X,h,{flag=0}): X being a nonsingular hyperelliptic curve given by an rational model, return a vector containing the affine rational points on the curve of naive height less than h. If fl=1, stop as soon as a point is found. X can be given either by a squarefree polynomial P such that X:y^2=P(x) or by a vector [P,Q] such that X:y^2+Q(x)y=P(x) and Q^2+4P is squarefree.
hyperellred	entity.name.function	hyperellred(C,{&m}): C being a nonsingular integral hyperelliptic model of a curve, return an integral model of C with the same discriminant but small coefficients. C can be given either by a squarefree polynomial P such that C:y^2=P(x) or by a vector [P,Q] such that C:y^2+Q(x)*y=P(x) and Q^2+4P is squarefree.
hypergeom	entity.name.function	hypergeom({N},{D},z): general hypergeometric function, where N and D are the vector of parameters in the numerator and denominator respectively, evaluated at the complex argument z.
hyperu	entity.name.function	hyperu(a,b,z): U-confluent hypergeometric function.
idealadd	entity.name.function	idealadd(nf,x,y): sum of two ideals x and y in the number field defined by nf.
idealaddtoone	entity.name.function	idealaddtoone(nf,x,{y}): if y is omitted, when the sum of the ideals in the number field K defined by nf and given in the vector x is equal to Z_K, gives a vector of elements of the corresponding ideals who sum to 1. Otherwise, x and y are ideals, and if they sum up to 1, find one element in each of them such that the sum is 1.
idealappr	entity.name.function	idealappr(nf,x,{flag}): x being a fractional ideal, gives an element b such that v_p(b)=v_p(x) for all prime ideals p dividing x, and v_p(b)>=0 for all other p; x may also be a prime ideal factorization with possibly zero exponents. flag is deprecated (ignored), kept for backward compatibility.
idealchinese	entity.name.function	idealchinese(nf,x,{y}): x being a prime ideal factorization and y a vector of elements, gives an element b such that v_p(b-y_p)>=v_p(x) for all prime ideals p dividing x, and v_p(b)>=0 for all other p. If y is omitted, return a data structure which can be used in place of x in later calls.
idealcoprime	entity.name.function	idealcoprime(nf,x,y): gives an element b in nf such that b. x is an integral ideal coprime to the integral ideal y.
idealdiv	entity.name.function	idealdiv(nf,x,y,{flag=0}): quotient x/y of two ideals x and y in HNF in the number field nf. If (optional) flag is nonzero, the quotient is supposed to be an integral ideal (slightly faster).
idealdown	entity.name.function	idealdown(nf,x): finds the intersection of the ideal x with Q.
idealfactor	entity.name.function	idealfactor(nf,x,{lim}): factorization of the ideal x into prime ideals in the number field nf. If lim is set return partial factorization, using primes < lim.
idealfactorback	entity.name.function	idealfactorback(nf,f,{e},{flag = 0}): given a factorization f, gives the ideal product back. If e is present, f has to be a vector of the same length, and we return the product of the f[i]^e[i]. If flag is nonzero, perform idealred along the way.
idealfrobenius	entity.name.function	idealfrobenius(nf,gal,pr): returns the Frobenius element (pr|nf/Q) attached to the unramified prime ideal pr in prid format, in the Galois group gal of the number field nf.
idealhnf	entity.name.function	idealhnf(nf,u,{v}): hermite normal form of the ideal u in the number field nf if v is omitted. If called as idealhnf(nf,u,v), the ideal is given as uZ_K + vZ_K in the number field K defined by nf.
idealintersect	entity.name.function	idealintersect(nf,A,B): intersection of two ideals A and B in the number field defined by nf.
idealinv	entity.name.function	idealinv(nf,x): inverse of the ideal x in the number field nf.
idealismaximal	entity.name.function	idealismaximal(nf,x): if x is a maximal ideal, return it in prid form, else return 0.
idealispower	entity.name.function	idealispower(nf,A,n,{&B}): return 1 if A = B^n is an n-th power else return 0.
ideallist	entity.name.function	ideallist(nf,bound,{flag=4}): vector of vectors L of all idealstar of all ideals of norm<=bound. If (optional) flag is present, its binary digits are toggles meaning 1: give generators; 2: add units; 4: give only the ideals and not the bid; 8: omit ideals which cannot be conductors.
ideallistarch	entity.name.function	ideallistarch(nf,list,arch): list is a vector of vectors of bid's as output by ideallist. Return a vector of vectors with the same number of components as the original list. The leaves give information about moduli whose finite part is as in original list, in the same order, and Archimedean part is now arch. The information contained is of the same kind as was present in the input.
ideallog	entity.name.function	ideallog({nf},x,bid): if bid is a big ideal, as given by idealstar(nf,D,...), gives the vector of exponents on the generators bid.gen (even if these generators have not been explicitly computed).
idealmin	entity.name.function	idealmin(nf,ix,{vdir}): pseudo-minimum of the ideal ix in the direction vdir in the number field nf.
idealmul	entity.name.function	idealmul(nf,x,y,{flag=0}): product of the two ideals x and y in the number field nf. If (optional) flag is nonzero, reduce the result.
idealnorm	entity.name.function	idealnorm(nf,x): norm of the ideal x in the number field nf.
idealnumden	entity.name.function	idealnumden(nf,x): returns [A,B], where A,B are coprime integer ideals such that x = A/B.
idealpow	entity.name.function	idealpow(nf,x,k,{flag=0}): k-th power of the ideal x in HNF in the number field nf. If (optional) flag is nonzero, reduce the result.
idealprimedec	entity.name.function	idealprimedec(nf,p,{f=0}): prime ideal decomposition of the prime number p in the number field nf as a vector of prime ideals. If f is present and nonzero, restrict the result to primes of residue degree <= f.
idealprincipalunits	entity.name.function	idealprincipalunits(nf,pr,k): returns the structure [no, cyc, gen] of the multiplicative group (1 + pr) / (1 + pr^k).
idealramgroups	entity.name.function	idealramgroups(nf,gal,pr): let pr be a prime ideal in prid format, and gal the Galois group of the number field nf, return a vector g such that g[1] is the decomposition group of pr, g[2] is the inertia group, g[i] is the (i-2)th ramification group of pr, all trivial subgroups being omitted.
idealred	entity.name.function	idealred(nf,I,{v=0}): LLL reduction of the ideal I in the number field nf along direction v, in HNF.
idealredmodpower	entity.name.function	idealredmodpower(nf,x,n,{B=primelimit}): return b such that x * b^n = v is small.
idealstar	entity.name.function	idealstar({nf},N,{flag=1},{cycmod}): gives the structure of (Z_K/N)^*, where N is a modulus (an ideal in any form or a vector [f0, foo], where f0 is an ideal and foo is a {0,1}-vector with r1 components. If the positive integer cycmod is present, only compute the group modulo cycmod-th powers. flag is optional, and can be 0: structure as an abelian group [h,d,g] where h is the order, d the orders of the cyclic factors and g the generators; if flag=1 (default), gives a bid structure used in ideallog to compute discrete logarithms; underlying generators are well-defined but not explicitly computed, which saves time; if flag=2, same as with flag=1 except that the generators are also given. If nf is omitted, N must be an integer and we return the structure of (Z/NZ)^*.
idealtwoelt	entity.name.function	idealtwoelt(nf,x,{a}): two-element representation of an ideal x in the number field nf. If (optional) a is nonzero, first element will be equal to a.
idealval	entity.name.function	idealval(nf,x,pr): valuation at pr given in idealprimedec format of the ideal x in the number field nf.
if	entity.name.function	if(a,{seq1},{seq2}): if a is nonzero, seq1 is evaluated, otherwise seq2. seq1 and seq2 are optional, and if seq2 is omitted, the preceding comma can be omitted also.
iferr	keyword.control	iferr(seq1,E,seq2,{pred}): evaluates the expression sequence seq1. If an error occurs, set the formal parameter E set to the error data. If pred is not present or evaluates to true, catch the error and evaluate seq2. Both pred and seq2 can reference E.
imag	entity.name.function	imag(x): imaginary part of x.
incgam	entity.name.function	incgam(s,x,{g}): incomplete gamma function. g is optional and is the precomputed value of gamma(s).
incgamc	entity.name.function	incgamc(s,x): complementary incomplete gamma function.
inline	keyword.control	inline(x,...,z): declares x,...,z as inline variables. DEPRECATED, use export.
input	keyword.control	input(): read an expression from the input file or standard input.
install	entity.name.function	install(name,code,{gpname},{lib}): load from dynamic library 'lib' the function 'name'. Assign to it the name 'gpname' in this GP session, with prototype 'code'. If 'lib' is omitted, all symbols known to gp (includes the whole 'libpari.so' and possibly others) are available. If 'gpname' is omitted, use 'name'.
intcirc	keyword.control	intcirc(X=a,R,expr,{tab}): numerical integration of expr on the circle |z-a|=R, divided by 2*I*Pi. tab is as in intnum.
intformal	entity.name.function	intformal(x,{v}): formal integration of x with respect to v, or to the main variable of x if v is omitted.
intfuncinit	keyword.control	intfuncinit(t=a,b,f,{m=0}): initialize tables for integrations from a to b using a weight f(t). For integral transforms such as Fourier or Mellin transforms.
intnum	keyword.control	intnum(X=a,b,expr,{tab}): numerical integration of expr from a to b with respect to X. Plus/minus infinity is coded as +oo/-oo. Finally tab is either omitted (let the program choose the integration step), a nonnegative integer m (divide integration step by 2^m), or data precomputed with intnuminit.
intnumgauss	keyword.control	intnumgauss(X=a,b,expr,{tab}): numerical integration of expr from a to b, a compact interval, with respect to X using Gauss-Legendre quadrature. tab is either omitted (and will be recomputed) or precomputed with intnumgaussinit.
intnumgaussinit	entity.name.function	intnumgaussinit({n}): initialize tables for n-point Gauss-Legendre integration on a compact interval.
intnuminit	entity.name.function	intnuminit(a,b,{m=0}): initialize tables for integrations from a to b. See help for intnum for coding of a and b. Possible types: compact interval, semi-compact (one extremity at + or - infinity) or R, and very slowly, slowly or exponentially decreasing, or sine or cosine oscillating at infinities.
